Created with UCDetector 2.0.0	2022-10-14 17:06:56	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
simulator.CirSim.baseURL(CirSim.java:212)	Field "CirSim.baseURL" has 0 references	CirSim.baseURL	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.shown(CirSim.java:214)	Change visibility of Field "CirSim.shown" to private	CirSim.shown	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.lastTime(CirSim.java:257)	Field "CirSim.lastTime" has 0 references	CirSim.lastTime	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.lastFrameTime(CirSim.java:257)	Change visibility of Field "CirSim.lastFrameTime" to private	CirSim.lastFrameTime	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.lastIterTime(CirSim.java:257)	Change visibility of Field "CirSim.lastIterTime" to private	CirSim.lastIterTime	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.secTime(CirSim.java:257)	Field "CirSim.secTime" has 0 references	CirSim.secTime	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.frames(CirSim.java:258)	Field "CirSim.frames" has 0 references	CirSim.frames	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.steps(CirSim.java:259)	Change visibility of Field "CirSim.steps" to private	CirSim.steps	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.framerate(CirSim.java:260)	Field "CirSim.framerate" has 0 references	CirSim.framerate	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.steprate(CirSim.java:260)	Field "CirSim.steprate" has 0 references	CirSim.steprate	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.voltageSources(CirSim.java:383)	Change visibility of Field "CirSim.voltageSources" to private	CirSim.voltageSources	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.<init>(CirSim.java:864)	Change visibility of ClassMember "CirSim.FindPathInfo" to private - May cause compile errors!	CirSim.FindPathInfo	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.FindPathInfo(CirSim.java:874)	Change visibility of Constructor "CirSim.FindPathInfo.FindPathInfo(int,CircuitElm,int)" to private	CirSim.FindPathInfo.FindPathInfo(int,CircuitElm,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.findPath(CirSim.java:881)	Change visibility of Method "CirSim.FindPathInfo.findPath(int)" to private	CirSim.FindPathInfo.findPath(int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.findPath(CirSim.java:885)	Change visibility of Method "CirSim.FindPathInfo.findPath(int,int)" to private	CirSim.FindPathInfo.findPath(int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.getIterCount(CirSim.java:1125)	Change visibility of Method "CirSim.getIterCount()" to private	CirSim.getIterCount()	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.runCircuit(CirSim.java:1135)	Method "CirSim.runCircuit()" has 0 references	CirSim.runCircuit()	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.min(CirSim.java:1287)	Change visibility of Method "CirSim.min(int,int)" to private	CirSim.min(int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.max(CirSim.java:1291)	Change visibility of Method "CirSim.max(int,int)" to private	CirSim.max(int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.stackScope(CirSim.java:1295)	Method "CirSim.stackScope(int)" has 0 references	CirSim.stackScope(int)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.unstackScope(CirSim.java:1308)	Method "CirSim.unstackScope(int)" has 0 references	CirSim.unstackScope(int)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.stackAll(CirSim.java:1320)	Method "CirSim.stackAll()" has 0 references	CirSim.stackAll()	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.unstackAll(CirSim.java:1328)	Method "CirSim.unstackAll()" has 0 references	CirSim.unstackAll()	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dumpCircuit(CirSim.java:1336)	Change visibility of Method "CirSim.dumpCircuit()" to private	CirSim.dumpCircuit()	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.readUrlData(CirSim.java:1363)	Method "CirSim.readUrlData(URL)" has 0 references	CirSim.readUrlData(URL)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.readHint(CirSim.java:1378)	Method "CirSim.readHint(StringTokenizer)" has 0 references	CirSim.readHint(StringTokenizer)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.readOptions(CirSim.java:1384)	Method "CirSim.readOptions(StringTokenizer)" has 0 references	CirSim.readOptions(StringTokenizer)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.doSwitch(CirSim.java:1409)	Method "CirSim.doSwitch(int,int)" has 0 references	CirSim.doSwitch(int,int)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dragAll(CirSim.java:1427)	Method "CirSim.dragAll(int,int)" has 0 references	CirSim.dragAll(int,int)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dragRow(CirSim.java:1440)	Method "CirSim.dragRow(int,int)" has 0 references	CirSim.dragRow(int,int)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dragColumn(CirSim.java:1455)	Method "CirSim.dragColumn(int,int)" has 0 references	CirSim.dragColumn(int,int)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dragPost(CirSim.java:1470)	Method "CirSim.dragPost(int,int)" has 0 references	CirSim.dragPost(int,int)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.selectArea(CirSim.java:1482)	Method "CirSim.selectArea(int,int)" has 0 references	CirSim.selectArea(int,int)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.setSelectedElm(CirSim.java:1495)	Method "CirSim.setSelectedElm(CircuitElm)" has 0 references	CirSim.setSelectedElm(CircuitElm)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.removeZeroLengthElements(CirSim.java:1504)	Change visibility of Method "CirSim.removeZeroLengthElements()" to private	CirSim.removeZeroLengthElements()	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.distanceSq(CirSim.java:1517)	Change visibility of Method "CirSim.distanceSq(int,int,int,int)" to private	CirSim.distanceSq(int,int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.constructElement(CirSim.java:1523)	Method "CirSim.constructElement(Class,int,int)" has 0 references	CirSim.constructElement(Class,int,int)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.doPopupMenu(CirSim.java:1551)	Method "CirSim.doPopupMenu(MouseEvent)" has 0 references	CirSim.doPopupMenu(MouseEvent)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.doMainMenuChecks(CirSim.java:1569)	Change visibility of Method "CirSim.doMainMenuChecks(Menu)" to private	CirSim.doMainMenuChecks(Menu)	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.enableItems(CirSim.java:1584)	Method "CirSim.enableItems()" has 0 references	CirSim.enableItems()	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.setGrid(CirSim.java:1595)	Change visibility of Method "CirSim.setGrid()" to private	CirSim.setGrid()	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.pushUndo(CirSim.java:1601)	Method "CirSim.pushUndo()" has 0 references	CirSim.pushUndo()	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.enableUndoRedo(CirSim.java:1610)	Change visibility of Method "CirSim.enableUndoRedo()" to private	CirSim.enableUndoRedo()	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.setMenuSelection(CirSim.java:1615)	Change visibility of Method "CirSim.setMenuSelection()" to private	CirSim.setMenuSelection()	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.doCopy(CirSim.java:1624)	Method "CirSim.doCopy()" has 0 references	CirSim.doCopy()	org.ucdetector.analyzeMarkerReference	
